timestamp_utc,wait_minutes,raw_found
2026-06-24T18:49:10.700322+00:00,28,True
2026-06-24T22:57:07.403649+00:00,1440,True
2026-06-25T10:25:47.951324+00:00,1440,True
2026-06-25T18:36:30.124733+00:00,1440,True
2026-06-25T23:56:52.351889+00:00,1440,True
2026-06-26T11:21:32.087496+00:00,1440,True
2026-06-26T18:14:37.939505+00:00,1440,True
2026-06-26T22:56:59.468045+00:00,1440,True
2026-06-27T09:15:21.688467+00:00,1440,True
2026-06-27T15:05:11.998665+00:00,1440,True
2026-06-27T20:18:39.255195+00:00,1440,True
2026-06-28T08:35:06.985310+00:00,1440,True
2026-06-28T15:02:18.064203+00:00,1440,True
2026-06-28T20:39:42.840981+00:00,1440,True
2026-06-29T12:51:00.097053+00:00,1440,True
2026-06-29T19:25:56.053952+00:00,1440,True
2026-06-29T23:39:35.548871+00:00,1440,True
2026-06-30T11:30:50.657175+00:00,1440,True
2026-06-30T18:25:10.616197+00:00,1440,True
2026-06-30T23:44:51.637596+00:00,1440,True
2026-07-01T11:43:10.667384+00:00,1440,True
2026-07-01T19:15:09.990819+00:00,1440,True
2026-07-02T00:19:42.973069+00:00,1440,True
2026-07-02T11:13:03.376580+00:00,1440,True
2026-07-02T18:18:44.032230+00:00,1440,True
2026-07-02T22:48:16.666813+00:00,1440,True
2026-07-03T10:12:33.520661+00:00,1440,True
2026-07-03T16:17:20.615190+00:00,1440,True
2026-07-03T20:43:34.146294+00:00,1440,True
2026-07-04T07:32:45.833283+00:00,1440,True
2026-07-04T12:13:48.010881+00:00,1440,True
2026-07-04T16:38:28.509722+00:00,1440,True
2026-07-04T20:31:38.866304+00:00,1440,True
2026-07-05T08:26:39.427954+00:00,1440,True
2026-07-05T14:55:38.981172+00:00,1440,True
2026-07-05T18:46:36.560027+00:00,1440,True
2026-07-05T22:36:17.344793+00:00,1440,True
2026-07-06T13:03:40.264902+00:00,1440,True
2026-07-06T20:59:21.114431+00:00,1440,True
2026-07-07T10:15:17.499089+00:00,1440,True
2026-07-07T18:34:07.793218+00:00,1440,True
2026-07-07T22:44:11.317020+00:00,1440,True
2026-07-08T07:57:24.071939+00:00,1440,True
2026-07-08T15:55:28.097396+00:00,1440,True
2026-07-08T20:43:15.690004+00:00,1440,True
2026-07-09T17:27:12.778770+00:00,1440,True
2026-07-09T22:52:30.482014+00:00,1440,True
2026-07-10T10:38:02.479872+00:00,1440,True
2026-07-10T17:30:51.477081+00:00,1440,True
2026-07-10T21:40:25.856043+00:00,1440,True
2026-07-11T06:27:48.691393+00:00,1440,True
2026-07-11T10:46:20.306337+00:00,1440,True
2026-07-11T14:38:25.489857+00:00,1440,True
2026-07-11T18:09:56.517213+00:00,1440,True
2026-07-11T21:36:00.124539+00:00,1440,True
2026-07-12T07:36:40.803286+00:00,1440,True
2026-07-12T11:45:39.625576+00:00,1440,True
2026-07-12T15:40:20.110599+00:00,1440,True
2026-07-12T19:59:42.567929+00:00,1440,True
2026-07-12T22:33:45.999020+00:00,1440,True
2026-07-13T10:42:54.287053+00:00,1440,True
2026-07-13T18:13:57.658860+00:00,1440,True
2026-07-13T22:14:54.641876+00:00,1440,True
2026-07-14T06:38:38.973137+00:00,1440,True
2026-07-14T12:01:07.850439+00:00,1440,True
2026-07-14T16:58:24.028893+00:00,1440,True
2026-07-14T20:43:36.251323+00:00,1440,True
2026-07-15T00:05:58.888353+00:00,1440,True
2026-07-15T09:20:00.477464+00:00,1440,True
2026-07-15T15:13:49.437100+00:00,1440,True
2026-07-15T19:58:34.196994+00:00,1440,True
2026-07-15T23:38:43.065314+00:00,1440,True
2026-07-16T07:38:22.845074+00:00,1440,True
2026-07-16T13:07:24.041778+00:00,1440,True
2026-07-16T17:57:37.911714+00:00,1440,True
2026-07-16T21:47:34.955143+00:00,1440,True
2026-07-17T06:30:18.722978+00:00,1440,True
2026-07-17T11:55:13.113061+00:00,1440,True
2026-07-17T16:37:55.489521+00:00,1440,True
2026-07-17T20:29:13.722269+00:00,1440,True
2026-07-18T00:12:48.257071+00:00,1440,True
2026-07-18T07:15:29.424110+00:00,1440,True
2026-07-18T11:32:49.941315+00:00,1440,True
2026-07-18T15:33:34.691435+00:00,1440,True
2026-07-18T19:55:51.440170+00:00,1440,True
2026-07-18T22:34:14.692975+00:00,1440,True
2026-07-19T07:39:31.175577+00:00,1440,True
2026-07-19T11:42:06.750352+00:00,1440,True
2026-07-19T15:34:35.243090+00:00,1440,True
2026-07-19T20:10:25.644081+00:00,1440,True
2026-07-20T08:23:05.708590+00:00,1440,True
2026-07-20T16:00:43.707732+00:00,1440,True
2026-07-20T20:50:53.427627+00:00,1440,True
2026-07-21T00:16:09.811146+00:00,1440,True
2026-07-21T10:08:57.952583+00:00,1440,True
2026-07-21T16:07:46.464028+00:00,1440,True
2026-07-21T20:51:49.938771+00:00,1440,True
2026-07-22T00:10:28.436297+00:00,1440,True
